countryListID,countryList
1,"Armenia, Romania, Dominican Republic, Malta, Mozambique"
2,"Saint Lucia, Belgium"
3,"Kiribati, Turkey, Rwanda"
4,"Congo, Democratic Republic of the, Tajikistan, Greece, Bangladesh"
5,"Czech Republic, Norway, Azerbaijan, United Arab Emirates"
6,"San Marino, Guatemala, Jamaica"
7,"Norway, Papua New Guinea, Armenia"
8,Iraq
9,"Kuwait, Vanuatu"
10,Uganda
11,"Guinea, Turkmenistan, Rwanda"
12,"Chad, Bhutan"
13,"Haiti, Ethiopia, The Gambia"
14,"Montenegro, Kiribati"
15,Canada
16,"New Zealand, Haiti, Lebanon, Serbia, Nigeria"
17,Costa Rica
18,"Kosovo, Madagascar, Brunei, Russia"
19,"Uruguay, Bulgaria, Sudan, South"
20,"Serbia, United Kingdom, Nauru"
21,"Vanuatu, Portugal, United States"
22,"Taiwan, Malaysia, Guinea-Bissau, Saudi Arabia"
23,"Slovakia, Burkina Faso, Netherlands"
24,"Bangladesh, Kiribati"
25,Bhutan
26,Peru
27,Zambia
28,"Congo, Republic of the, Sri Lanka"
29,"Mexico, Uruguay, Equatorial Guinea, Philippines, Saint Kitts and Nevis"
30,"South Africa, Mozambique, Nicaragua, Belgium"
31,"Lesotho, Djibouti, Bosnia and Herzegovina"
32,"Iraq, Grenada"
33,"Ecuador, Ghana, The Gambia, Turkey"
34,Marshall Islands
35,"Peru, North Macedonia, Belgium, Samoa, Saint Kitts and Nevis"
36,Bulgaria
37,"North Macedonia, El Salvador"
38,"Suriname, Central African Republic"
39,"Angola, Lesotho"
40,"Poland, El Salvador, Kenya"
41,"Tunisia, Vietnam, Italy"
42,"Mexico, Spain, Cyprus"
43,"Denmark, Seychelles"
44,"Bulgaria, Japan, Russia, Maldives"
45,"Moldova, Tanzania, United Arab Emirates"
46,"Andorra, Tunisia"
47,"Moldova, Peru, Cambodia"
48,"Suriname, Seychelles, Slovenia, Papua New Guinea"
49,"Luxembourg, Japan"
50,"Cuba, Sudan, Somalia"
51,The Gambia
52,"Jamaica, Solomon Islands, Brunei, Singapore"
53,"Vanuatu, Serbia, United Arab Emirates"
54,"Ghana, Cambodia, Bahrain, Hungary, Trinidad and Tobago"
55,"Iceland, Austria, India"
56,"Sierra Leone, Guinea-Bissau, Iceland"
57,Antigua and Barbuda
58,"Laos, Zambia, Marshall Islands, Bosnia and Herzegovina, Niger"
59,"Serbia, Korea, South, Belize, Comoros"
60,"Oman, Canada"
61,"Brazil, Brunei, Saint Kitts and Nevis"
62,"Madagascar, Albania, Chad, Bangladesh, Singapore"
63,"Cameroon, Belize, Finland, Rwanda, Honduras"
64,Montenegro
65,"South Africa, Switzerland"
66,Cyprus
67,"Jamaica, Micronesia, Federated States of"
68,"Finland, Angola, Libya"
69,"Venezuela, Malta, Czech Republic"
70,"Ireland, North Macedonia, Madagascar, Vanuatu, New Zealand"
71,"Nigeria, Guinea, Croatia"
72,"Nicaragua, The Bahamas, Kuwait, Eritrea, Guyana"
73,"Kyrgyzstan, Benin"
74,"Sri Lanka, Lesotho, Zambia, Morocco"
75,"Seychelles, Ireland"
76,"Grenada, Sri Lanka, Djibouti, Saint Vincent and the Grenadines, Georgia"
77,"Tunisia, United Arab Emirates, Vanuatu"
78,Zambia
79,"Egypt, Rwanda, Taiwan, Mali, Namibia"
80,"Sao Tome and Principe, Kiribati"
81,"Spain, Uruguay, Rwanda"
82,"Mali, Qatar, United Kingdom, Syria, Dominica"
83,"Belarus, Malawi, Chad, France"
84,"Iran, Lesotho, Uganda, Mozambique"
85,"Netherlands, Georgia, Trinidad and Tobago"
86,"Kazakhstan, Morocco, India, South Africa"
87,"Turkmenistan, Iraq, Kazakhstan, Liberia, Canada"
88,"Switzerland, Iceland, Thailand, Oman, Sweden"
89,"Tuvalu, Maldives, Vatican City, Sudan"
90,"Palau, Nauru, Sweden, Estonia, Taiwan"
91,"Rwanda, Jordan, Suriname, Tonga, Andorra"
92,"Panama, Kuwait, Fiji, Angola"
93,Canada
94,"Italy, Libya"
95,"Cambodia, Finland, Turkey"
96,"Cameroon, Haiti, New Zealand, Bosnia and Herzegovina"
97,"Saudi Arabia, Vanuatu"
98,"Saint Lucia, Saudi Arabia, Malta, Myanmar (Burma)"
99,"Malawi, Senegal, Norway, Mali"
100,"Belarus, Zambia, Chad, Tanzania, Argentina"
101,"Belarus, Denmark, Libya, Korea, South, Colombia"
102,Finland
103,"Armenia, Ukraine, Liberia"
104,"Niger, Oman, Tunisia, San Marino"
105,Egypt
106,Samoa
107,"Sierra Leone, Saint Lucia, Czech Republic, North Macedonia, Finland"
108,"Canada, Afghanistan, Pakistan"
109,"Bhutan, Cyprus, Chile"
110,"Afghanistan, The Gambia, Italy, Australia, Peru"
111,"Samoa, Brazil, Kuwait"
