actorID,name,actorPhoto
1,Akshay Kumar,
2,Shah Rukh Khan,
3,Salman Khan,
4,Aamir Khan,
5,Hrithik Roshan,
6,Ranbir Kapoor,
7,Ajay Devgn,
8,Amitabh Bachchan,
9,Ranveer Singh,
10,Varun Dhawan,
11,Tiger Shroff,
12,Vicky Kaushal,
13,Ayushmann Khurrana,
14,Shahid Kapoor,
15,Arjun Kapoor,
16,Sushant Singh Rajput,
17,Irrfan Khan,
18,Kangana Ranaut,
19,Priyanka Chopra,
20,Deepika Padukone,
21,Alia Bhatt,
22,Kareena Kapoor Khan,
23,Katrina Kaif,
24,Anushka Sharma,
25,Vidya Balan,
26,Madhuri Dixit,
27,Sridevi,
28,Kajol,
29,Rani Mukerji,
30,Juhi Chawla,
31,Karisma Kapoor,
32,Rekha,
33,Aishwarya Rai Bachchan,
34,Sonam Kapoor,
35,Shraddha Kapoor,
36,Kriti Sanon,
37,Jacqueline Fernandez,
38,Disha Patani,
39,Kiara Advani,
40,Bhumi Pednekar,
41,Taapsee Pannu,
42,Yami Gautam,
43,Radhika Apte,
44,Tom Hanks,
45,Leonardo DiCaprio,
46,Brad Pitt,
47,Robert De Niro,
48,Morgan Freeman,
49,Denzel Washington,
50,Al Pacino,
51,Tom Cruise,
52,Meryl Streep,
53,Scarlett Johansson,
54,Sandra Bullock,
55,Angelina Jolie,
56,Emma Watson,
57,Jennifer Lawrence,
58,Chris Hemsworth,
59,Ryan Reynolds,
60,Will Smith,
61,Dwayne Johnson,
62,Chris Pratt,
63,Mark Wahlberg,
64,Matthew McConaughey,
65,Christian Bale,
66,Eddie Murphy,
67,Russell Crowe,
68,Tom Hardy,
69,Hugh Jackman,
70,Jake Gyllenhaal,
71,Ryan Gosling,
72,Bradley Cooper,
73,Jennifer Aniston,
74,Julia Roberts,
75,Reese Witherspoon,
76,Charlize Theron,
77,Halle Berry,
78,Viola Davis,
79,Amy Adams,
80,Emma Stone,
81,Mila Kunis,
82,Anne Hathaway,
83,Lupita Nyong'o,
84,Saoirse Ronan,
85,Brie Larson,
86,Zendaya,
87,Florence Pugh,
88,Tessa Thompson,
