actorSerieID,actorID,serieID
44466,1,1
44467,1,2
44468,1,3
44469,1,4
44470,1,5
44471,1,6
44472,1,7
44473,1,8
44474,1,9
44475,1,10
44476,1,11
44477,1,12
44478,1,13
44479,1,14
44480,1,15
44481,1,16
44482,1,17
44483,1,18
44484,1,19
44485,1,20
44486,1,21
44487,1,22
44488,1,23
44489,1,24
44490,1,25
44491,1,26
44492,1,27
44493,1,28
44494,1,29
44495,1,30
44496,1,31
44497,1,32
44498,1,33
44499,1,34
44500,1,35
44501,1,36
44502,1,37
44503,1,38
44504,1,39
44505,1,40
44506,1,41
44507,1,42
44508,1,43
44509,1,44
44510,1,45
44511,1,46
44512,1,47
44513,1,48
44514,1,49
44515,1,50
44516,1,51
44517,1,52
44518,1,53
44519,1,54
44520,1,55
44521,1,56
44522,1,57
44523,1,58
44524,1,59
44525,1,60
44526,1,61
44527,1,62
44528,1,63
44529,1,64
44530,1,65
44531,1,66
44532,1,67
44533,1,68
44534,1,69
44535,1,70
44536,1,71
44537,1,72
44538,1,73
44539,1,74
44540,1,75
44541,1,76
44542,1,77
44543,1,78
44544,1,79
44545,1,80
44546,1,81
44547,1,82
44548,1,83
44549,1,84
44550,1,85
44551,1,86
44552,1,87
44553,1,88
44554,1,89
44555,1,90
44556,1,91
44557,1,92
44558,1,93
44559,1,94
44560,1,95
44561,1,96
44562,1,97
44563,1,98
44564,1,99
44565,1,100
44566,1,101
44567,1,102
44568,1,103
44569,1,104
44570,1,105
44571,1,106
44572,1,107
44573,1,108
44574,1,109
44575,1,110
44576,1,111
44577,1,112
44578,1,113
44579,1,114
44580,1,115
44581,1,116
44582,1,117
44583,1,118
44584,1,119
44585,1,120
44586,1,121
44587,1,122
44588,1,123
44589,1,124
44590,1,125
44591,1,126
44592,1,127
44593,1,128
44594,1,129
44595,1,130
44596,1,131
44597,1,132
44598,1,133
44599,1,134
44600,1,135
44601,1,136
44602,1,137
44603,1,138
44604,1,139
44605,1,140
44606,1,141
44607,1,142
44608,1,143
44609,1,144
44610,1,145
44611,1,146
44612,1,147
44613,1,148
44614,1,149
44615,1,150
44616,1,151
44617,1,152
44618,1,153
44619,1,154
44620,1,155
44621,1,156
44622,1,157
44623,1,158
44624,1,159
44625,1,160
44626,1,161
44627,1,162
44628,1,163
44629,1,164
44630,1,165
44631,1,166
44632,1,167
44633,1,168
44634,1,169
44635,1,170
44636,1,171
44637,1,172
44638,1,173
44639,1,174
44640,1,175
44641,1,176
44642,1,177
44643,1,178
44644,1,179
44645,1,180
44646,1,181
44647,1,182
44648,1,183
44649,1,184
44650,1,185
44651,1,186
44652,1,187
44653,1,188
44654,1,189
44655,1,190
44656,1,191
44657,1,192
44658,1,193
44659,1,194
44660,1,195
44661,1,196
44662,1,197
44663,1,198
44664,1,199
44665,1,200
44666,1,201
44667,1,202
44668,1,203
44669,1,204
44670,1,205
44671,1,206
44672,1,207
44673,1,208
44674,1,209
44675,1,210
44676,1,211
44677,1,212
44678,1,213
44679,1,214
44680,1,215
44681,1,216
44682,1,217
44683,1,218
44684,1,219
44685,1,220
44686,1,221
44687,1,222
44688,1,223
44689,1,224
44690,1,225
44691,1,226
44692,1,227
44693,1,228
44694,1,229
44695,1,230
44696,1,231
44697,1,232
44698,1,233
44699,1,234
44700,1,235
44701,1,236
44702,1,237
44703,1,238
44704,1,239
44705,1,240
44706,1,241
44707,1,242
44708,1,243
44709,1,244
44710,1,245
44711,1,246
44712,1,247
44713,1,248
44714,1,249
44715,1,250
44716,1,251
44717,1,252
44718,1,253
44719,1,254
44720,1,255
44721,1,256
44722,1,257
44723,1,258
44724,1,259
44725,1,260
44726,1,261
44727,1,262
44728,1,263
44729,1,264
44730,1,265
44731,1,266
44732,1,267
44733,1,268
44734,1,269
44735,1,270
44736,1,271
44737,1,272
44738,1,273
44739,1,274
44740,1,275
44741,1,276
44742,1,277
44743,1,278
44744,1,279
44745,1,280
44746,1,281
44747,1,282
44748,1,283
44749,1,284
44750,1,285
44751,1,286
44752,1,287
44753,1,288
44754,1,289
44755,1,290
44756,1,291
44757,1,292
44758,1,293
44759,1,294
44760,1,295
44761,1,296
44762,1,297
44763,1,298
44764,1,299
44765,1,300
44766,1,301
44767,1,302
44768,1,303
44769,1,304
44770,1,305
44771,1,306
44772,1,307
44773,1,308
44774,1,309
44775,1,310
44776,1,311
44777,1,312
44778,1,313
44779,1,314
44780,1,315
44781,1,316
44782,1,317
44783,1,318
44784,1,319
44785,1,320
44786,1,321
44787,1,322
44788,1,323
44789,1,324
44790,1,325
44791,1,326
44792,1,327
44793,1,328
44794,1,329
44795,1,330
44796,1,331
44797,1,332
44798,1,333
44799,1,334
44800,1,335
44801,1,336
44802,1,337
44803,1,338
44804,1,339
44805,1,340
44806,1,341
44807,1,342
44808,1,343
44809,1,344
44810,1,345
44811,1,346
44812,1,347
44813,1,348
44814,1,349
44815,1,350
44816,1,351
44817,1,352
44818,1,353
44819,1,354
44820,1,355
44821,1,356
44822,1,357
44823,1,358
44824,1,359
44825,1,360
44826,1,361
44827,1,362
44828,1,363
44829,1,364
44830,1,365
44831,1,366
44832,1,367
44833,1,368
44834,1,369
44835,1,370
44836,1,371
44837,1,372
44838,1,373
44839,1,374
44840,1,375
44841,1,376
44842,1,377
44843,1,378
44844,1,379
44845,1,380
44846,1,381
44847,1,382
44848,1,383
44849,1,384
44850,1,385
44851,1,386
44852,1,387
44853,1,388
44854,1,389
44855,1,390
44856,1,391
44857,1,392
44858,1,393
44859,1,394
44860,1,395
44861,1,396
44862,1,397
44863,1,398
44864,1,399
44865,1,400
44866,1,401
44867,1,402
44868,1,403
44869,1,404
44870,1,405
44871,1,406
44872,1,407
44873,1,408
44874,1,409
44875,1,410
44876,1,411
44877,1,412
44878,1,413
44879,1,414
44880,1,415
44881,1,416
44882,1,417
44883,1,418
